q,psnr_db,mse,archived_origin
64,68.9452560656604,547.546492099762,output/checkpoints/20260613_lambda005_recalibration_audit/global_calibrations/canonical_global_q_quality.tsv
80,69.75175288275568,454.74854612350464,output/checkpoints/20260613_lambda005_recalibration_audit/global_calibrations/canonical_global_q_quality.tsv
96,70.44587570813205,387.57792806625366,output/checkpoints/20260613_lambda005_recalibration_audit/global_calibrations/canonical_global_q_quality.tsv
112,71.10364797514612,333.105504989624,output/checkpoints/20260613_lambda005_recalibration_audit/global_calibrations/canonical_global_q_quality.tsv
128,71.64454292001544,294.09816551208496,output/checkpoints/20260613_lambda005_recalibration_audit/global_calibrations/canonical_global_q_quality.tsv
144,72.1662047237933,260.81113862991333,output/checkpoints/20260613_lambda005_recalibration_audit/global_calibrations/canonical_global_q_quality.tsv
160,72.63114026909614,234.33252954483032,output/checkpoints/20260613_lambda005_recalibration_audit/global_calibrations/canonical_global_q_quality.tsv
176,73.01099246780355,214.7075719833374,output/checkpoints/20260613_lambda005_recalibration_audit/global_calibrations/canonical_global_q_quality.tsv
192,73.3790751734936,197.260027885437,output/checkpoints/20260613_lambda005_recalibration_audit/global_calibrations/canonical_global_q_quality.tsv
204,73.62003209389974,186.61364603042603,output/checkpoints/20260613_lambda005_recalibration_audit/global_calibrations/canonical_global_q_quality.tsv
216,73.87785067112682,175.85776138305664,output/checkpoints/20260613_lambda005_recalibration_audit/global_calibrations/canonical_global_q_quality.tsv
232,74.1586508439064,164.8471803665161,output/checkpoints/20260613_lambda005_recalibration_audit/global_calibrations/canonical_global_q_quality.tsv
240,74.28466170019057,160.13285160064697,output/checkpoints/20260613_lambda005_recalibration_audit/global_calibrations/canonical_global_q_quality.tsv
248,74.41847472650966,155.27414083480835,output/checkpoints/20260613_lambda005_recalibration_audit/global_calibrations/canonical_global_q_quality.tsv
255,74.51666968072152,151.80275011062622,output/checkpoints/20260613_lambda005_recalibration_audit/global_calibrations/canonical_global_q_quality.tsv
