filename	dtype	size_bytes	shape	sha256
spectral_analysis_kernel.bin	float32	256	8x8	c76c54181c61b3f812ffc547dd7df547565c82fe17e8f2f504ae0f614f7f30c5
spectral_synthesis_kernel.bin	float32	256	8x8	2be948a3b521f03bb77be406a7c839c6893990d23d7560cfc371965e69ec2abd
mod_dense_1_kernel.bin	float32	768	1x192	bf61b7ce373eb9a2dd3ddaf4e97114e5430bf0e00c25eeaf5d6cb5c93903775a
mod_dense_1_bias.bin	float32	768	192	28f79d4573407f35eda0470b191104a9e6de9ae4de414ea42c39f95476f58f2b
mod_dense_2_kernel.bin	float32	2359296	192x3072	b75deac0e57c697ee3ee5a0390ef9e27302226c0added5853fb62b529d976876
mod_dense_2_bias.bin	float32	12288	3072	997e77ba6a28a01034e458d4f2b0c538718eb734953cbbd004882c3088be77c5
analysis_conv_0_kernel.bin	float32	12800	5x5x1x128	d35651e9302b98bc1d15acaf2d13b0341a403e0735a9df5701f3b07be4dab5dd
analysis_conv_0_bias.bin	float32	512	128	56f35fb499df4a05c7f395ab5e527e75532c3f620753b9e16a2dbe0c20987130
analysis_gdn_0_beta.bin	float32	512	128	64f5ff827807372d292ca8b941448b701c77738b330d80e398d161a984a4f26b
analysis_gdn_0_gamma.bin	float32	65536	128x128	ac8e58e5e71611382d9e564549686695e097b0f8694ab94dda40757d78159fa1
analysis_conv_1_kernel.bin	float32	1638400	5x5x128x128	825154af738c5afdcacd567ab1024c8d5c27f7068fffd4d38d8c2fb5d86bd087
analysis_conv_1_bias.bin	float32	512	128	ab641f59e51db1e298c43f9b0807d2dba3e1ac2ac5a05230fa927e33608f90af
analysis_gdn_1_beta.bin	float32	512	128	0e8d9ac24c2fe492fec4bb6a4ed1a2dd11e338403851f851eff5735ea535ab80
analysis_gdn_1_gamma.bin	float32	65536	128x128	51b0768b1b83cfb6cdad4db0445e30c9c30a36933375c7323ca643d50e1f03ca
analysis_conv_2_kernel.bin	float32	1638400	5x5x128x128	3a137d559df1570dbcda4da4eb549bb9cf679080cdf1b6bd275e0de00ebcda3c
analysis_conv_2_bias.bin	float32	512	128	e5ca12b25bc7ecc8141f202bbd1f97c7147cc41a450d6d423e015e9841bbb2ae
analysis_gdn_2_beta.bin	float32	512	128	722457d4c096ccac65397ee6046be586bda60be52ea8c4ed4e42521fa816890e
analysis_gdn_2_gamma.bin	float32	65536	128x128	a153529186db1e25d9c188ce0d19bad967b18e8d5bd5587fd66f4c7c7f361666
analysis_conv_3_kernel.bin	float32	4915200	5x5x128x384	c5707b1433223fc78a7ebb0a7fb8ca3680740fadb3404005f888f313b0c63a3f
synthesis_conv_0_kernel.bin	float32	1228800	5x5x96x128	0bd9bfb5e0c08f0c92e1ecc99cafc6e4321552dd8260d2be9b9eef536ff24383
synthesis_conv_0_bias.bin	float32	512	128	38c39865880b444180eed322e2b841c9a1e77e6d3dfed4ad9e00e43aa06c4de9
synthesis_igdn_0_beta.bin	float32	512	128	0298feb5510e49b1a8d789316296b8ce8d3f12363a2a9a969165ad3d01bb7695
synthesis_igdn_0_gamma.bin	float32	65536	128x128	fc3ea79999c8c62888d56c4f0ddd64bc6fb9acd16c7caa6cd31d28e8cb0e1525
synthesis_conv_1_kernel.bin	float32	409600	5x5x32x128	45b3af0fc26feb8abf6c2ef787925109b3a4167a607f2e4aa0b9b22ece4d153e
synthesis_conv_1_bias.bin	float32	512	128	f14b980cfaaaea1ef1d29979f31401ede2eebef43f0ecc3a4f1b6727ad080b4a
synthesis_igdn_1_beta.bin	float32	512	128	12bd5c4038723a190d20552e4c309464e83c51cee5e4d31aad1083a39f7c72bc
synthesis_igdn_1_gamma.bin	float32	65536	128x128	493c2f939233fbcaf228c0fbba4b1774f2aec3362622a6a07b99049e94202a24
synthesis_conv_2_kernel.bin	float32	409600	5x5x32x128	c3f7839418c57b69a5973ea9e36b4e216f7d1dced337c8510619d9935ec3e769
synthesis_conv_2_bias.bin	float32	512	128	fc09f82810067f97452ad2b8f98ddeca4a31c0c9e9f586c1d06b7812ddd9a729
synthesis_igdn_2_beta.bin	float32	512	128	aed6416c6e8cadb5a5fe828e572456a9e6e439d895d8caceb3ba54a7d044c8f2
synthesis_igdn_2_gamma.bin	float32	65536	128x128	a781cc5842a7a8f0a632eebdbf7221858dc61db89328c69cd9c8d439dedc4fd0
synthesis_conv_3_kernel.bin	float32	3200	5x5x32x1	7c959401f7e98fe0e40e70ad8280a96048d2b152b46b23e9553abd4fb54c04a2
synthesis_conv_3_bias.bin	float32	4	1	64bf7d4c7275f9c7e16dfe8eb9396f784c21a0b9f1d62c5a42ebec059e170b93
