filename	dtype	size_bytes	shape
analysis_conv_0_kernel.bin	float32	12800	5x5x1x128
analysis_conv_0_bias.bin	float32	512	128
analysis_gdn_0_beta.bin	float32	512	128
analysis_gdn_0_gamma.bin	float32	65536	128x128
analysis_conv_1_kernel.bin	float32	1638400	5x5x128x128
analysis_conv_1_bias.bin	float32	512	128
analysis_gdn_1_beta.bin	float32	512	128
analysis_gdn_1_gamma.bin	float32	65536	128x128
analysis_conv_2_kernel.bin	float32	1638400	5x5x128x128
analysis_conv_2_bias.bin	float32	512	128
analysis_gdn_2_beta.bin	float32	512	128
analysis_gdn_2_gamma.bin	float32	65536	128x128
analysis_conv_3_kernel.bin	float32	4915200	5x5x128x384
spectral_analysis_kernel.bin	float32	256	8x8
mod_dense_1_kernel.bin	float32	768	1x192
mod_dense_1_bias.bin	float32	768	192
mod_dense_2_kernel.bin	float32	2359296	192x3072
mod_dense_2_bias.bin	float32	12288	3072
