filename	dtype	size_bytes	shape	sha256
spectral_analysis_kernel.bin	float32	256	8x8	c76c54181c61b3f812ffc547dd7df547565c82fe17e8f2f504ae0f614f7f30c5
analysis_conv_0_kernel.bin	float32	12800	5x5x1x128	d35651e9302b98bc1d15acaf2d13b0341a403e0735a9df5701f3b07be4dab5dd
analysis_conv_0_bias.bin	float32	512	128	56f35fb499df4a05c7f395ab5e527e75532c3f620753b9e16a2dbe0c20987130
analysis_gdn_0_beta.bin	float32	512	128	64f5ff827807372d292ca8b941448b701c77738b330d80e398d161a984a4f26b
analysis_gdn_0_gamma.bin	float32	65536	128x128	ac8e58e5e71611382d9e564549686695e097b0f8694ab94dda40757d78159fa1
analysis_conv_1_kernel.bin	float32	1638400	5x5x128x128	825154af738c5afdcacd567ab1024c8d5c27f7068fffd4d38d8c2fb5d86bd087
analysis_conv_1_bias.bin	float32	512	128	ab641f59e51db1e298c43f9b0807d2dba3e1ac2ac5a05230fa927e33608f90af
analysis_gdn_1_beta.bin	float32	512	128	0e8d9ac24c2fe492fec4bb6a4ed1a2dd11e338403851f851eff5735ea535ab80
analysis_gdn_1_gamma.bin	float32	65536	128x128	51b0768b1b83cfb6cdad4db0445e30c9c30a36933375c7323ca643d50e1f03ca
analysis_conv_2_kernel.bin	float32	1638400	5x5x128x128	3a137d559df1570dbcda4da4eb549bb9cf679080cdf1b6bd275e0de00ebcda3c
analysis_conv_2_bias.bin	float32	512	128	e5ca12b25bc7ecc8141f202bbd1f97c7147cc41a450d6d423e015e9841bbb2ae
analysis_gdn_2_beta.bin	float32	512	128	722457d4c096ccac65397ee6046be586bda60be52ea8c4ed4e42521fa816890e
analysis_gdn_2_gamma.bin	float32	65536	128x128	a153529186db1e25d9c188ce0d19bad967b18e8d5bd5587fd66f4c7c7f361666
analysis_conv_3_kernel.bin	float32	4915200	5x5x128x384	c5707b1433223fc78a7ebb0a7fb8ca3680740fadb3404005f888f313b0c63a3f
mod_dense_0_kernel.bin	float32	768	1x192	bf61b7ce373eb9a2dd3ddaf4e97114e5430bf0e00c25eeaf5d6cb5c93903775a
mod_dense_0_bias.bin	float32	768	192	28f79d4573407f35eda0470b191104a9e6de9ae4de414ea42c39f95476f58f2b
mod_dense_1_kernel.bin	float32	2359296	192x3072	b75deac0e57c697ee3ee5a0390ef9e27302226c0added5853fb62b529d976876
mod_dense_1_bias.bin	float32	12288	3072	997e77ba6a28a01034e458d4f2b0c538718eb734953cbbd004882c3088be77c5
