filename	dtype	size_bytes	shape	sha256_placeholder
spectral_analysis_kernel.bin	float32	256	8x8	SHA256
analysis_conv_0_kernel.bin	float32	7680	5x3x1x128	SHA256
analysis_conv_0_bias.bin	float32	512	128	SHA256
analysis_gdn_0_beta.bin	float32	512	128	SHA256
analysis_gdn_0_gamma.bin	float32	65536	128x128	SHA256
analysis_conv_1_kernel.bin	float32	983040	5x3x128x128	SHA256
analysis_conv_1_bias.bin	float32	512	128	SHA256
analysis_gdn_1_beta.bin	float32	512	128	SHA256
analysis_gdn_1_gamma.bin	float32	65536	128x128	SHA256
analysis_conv_2_kernel.bin	float32	983040	5x3x128x128	SHA256
analysis_conv_2_bias.bin	float32	512	128	SHA256
analysis_gdn_2_beta.bin	float32	512	128	SHA256
analysis_gdn_2_gamma.bin	float32	65536	128x128	SHA256
analysis_conv_3_kernel.bin	float32	2949120	5x3x128x384	SHA256
mod_dense_1_kernel.bin	float32	768	1x192	SHA256
mod_dense_1_bias.bin	float32	768	192	SHA256
mod_dense_2_kernel.bin	float32	2359296	192x3072	SHA256
mod_dense_2_bias.bin	float32	12288	3072	SHA256
