filename	dtype	size_bytes	shape	sha256
spectral__layer_with_weights-0_kernel_.ATTRIBUTES_VARIABLE_VALUE.bin	float32	256	8x8	c76c54181c61b3f812ffc547dd7df547565c82fe17e8f2f504ae0f614f7f30c5
analysis__layer_with_weights-0__bias_parameter_.ATTRIBUTES_VARIABLE_VALUE.bin	float32	512	128	56f35fb499df4a05c7f395ab5e527e75532c3f620753b9e16a2dbe0c20987130
analysis__layer_with_weights-1__bias_parameter_.ATTRIBUTES_VARIABLE_VALUE.bin	float32	512	128	ab641f59e51db1e298c43f9b0807d2dba3e1ac2ac5a05230fa927e33608f90af
analysis__layer_with_weights-2__bias_parameter_.ATTRIBUTES_VARIABLE_VALUE.bin	float32	512	128	e5ca12b25bc7ecc8141f202bbd1f97c7147cc41a450d6d423e015e9841bbb2ae
analysis__variables_1_.ATTRIBUTES_VARIABLE_VALUE.bin	float32	512	128	a9a0641eac635036d5d56c096ab4aa9103e2e8b00ce8a76430132ac15fdaf2e2
analysis__variables_11_.ATTRIBUTES_VARIABLE_VALUE.bin	float32	512	128	38af672fb61961a202351efe2d8e2a696280777055a8fab72f01eac5ecdf551c
analysis__variables_12_.ATTRIBUTES_VARIABLE_VALUE.bin	float32	65536	128x128	c9b3e800fc683f169309eb8dd4e435fd073ea27fb4862272f910ae88a1d527c2
analysis__variables_13_.ATTRIBUTES_VARIABLE_VALUE.bin	float32	983040	5x3x128x128	24e45946c660fd8154b5e7ffd6c9fddbce23a17c48fb24db81e138022b8771c8
analysis__variables_14_.ATTRIBUTES_VARIABLE_VALUE.bin	float32	983040	5x3x128x128	96812ed7a7facc2bb8177e7a6b6ef07c48ddf274e767153ff92de5ace0bf9a58
analysis__variables_15_.ATTRIBUTES_VARIABLE_VALUE.bin	float32	2949120	5x3x384x128	6855d3b49b43175ccde88783fa8f7eb2d61ee978d19cfa80c9527cef019834d0
analysis__variables_16_.ATTRIBUTES_VARIABLE_VALUE.bin	float32	2949120	5x3x384x128	a875134f3193d23a2f98632c1ecf02646fef5868aa6a0befed9ce6fed2deca39
analysis__variables_2_.ATTRIBUTES_VARIABLE_VALUE.bin	float32	65536	128x128	b792394711d1de0decc5fde2d83a17022df857e1e854b8ae97c1b93485a465b2
analysis__variables_3_.ATTRIBUTES_VARIABLE_VALUE.bin	float32	7680	5x3x128x1	b24533d2b8405b0ec7e0274287b14bcbe488b1420c8e61f71fb2b675f2aac4cf
analysis__variables_4_.ATTRIBUTES_VARIABLE_VALUE.bin	float32	7680	5x3x128x1	d38d6fb6668c36f44a2be76f65f953b503bf61fc1081638d2320cb24e59b56c2
analysis__variables_6_.ATTRIBUTES_VARIABLE_VALUE.bin	float32	512	128	c38f6ec6faa47c7ee79218a06cde138c3b7a7a5f7538ed38b72812f9e4455645
analysis__variables_7_.ATTRIBUTES_VARIABLE_VALUE.bin	float32	65536	128x128	953d1db6bcb969f05be74a2285d23eae37095a90d05c3f1007be73506a462934
analysis__variables_8_.ATTRIBUTES_VARIABLE_VALUE.bin	float32	983040	5x3x128x128	6c92e42698256ef1b08a8ec671e83b0dce0b2ec87900ed80066884827962e38b
analysis__variables_9_.ATTRIBUTES_VARIABLE_VALUE.bin	float32	983040	5x3x128x128	c8895ce8621eb366cd05bc65e27433102b1e31c4654fb2ecbc46cce6479ba3dd
